Name,title,gender,IA
J.N. Ulysses,A speech orientation animation system to disabled people,F,S
T.P. Lied,Procedural butterfly wing patterns,M,S
C.E.S. Moreira,A flexible model for simulation of mammalian coats,M,S
N. Chamel Elias,Edugraph: software to teach computer graphics concepts,F,S
R. de Godoy Domingues,Edugraph: software to teach computer graphics concepts,M,S
F. Mello,Battlefield visualization and intelligent agents decision support,M,S
F. Policarpo,Three-dimensional reconstruction of urban scenes from a single image,M,S
O. Vargas Jaques,Neural cells synthesis using L-System,M,S
R. Celia Coelho,Neural cells synthesis using L-System,F,S
M.B. Vieira,Navegador3D: an Internet based flight simulator of urban centers,M,S
A.D.A. Araujo,Navegador3D: an Internet based flight simulator of urban centers,M,S
R. Melo Czekster,An interactive system for the visualization and measurement extraction in medical images,M,S
I. Harb Manssour,An interactive system for the visualization and measurement extraction in medical images,M,S
V. Fragoso de Melo,On validating a physically-based deformable surface model,M,S
H.M.De.A. Bezerra,Resource management in computer graphics teaching,M,S
B.F.F. Karlsson,Resource management in computer graphics teaching,M,S
M.C.De.A. Gois,Resource management in computer graphics teaching,F,S
A.C. Frery,Resource management in computer graphics teaching,M,S
F.V. Duarte,How to support collaborative modelling with the emerging standard MPEG-4 MU,M,S
R.B. Araujo,How to support collaborative modelling with the emerging standard MPEG-4 MU,M,S
F.W. Damasio,Animating virtual humans using hand postures,M,S
O. Alessio,"Tracing along an intersection closed loop, when should one stop?",M,S
H. Lopes,Robust adaptive approximation of implicit curves,M,S
J.B. Oliveira,Robust adaptive approximation of implicit curves,M,S
L.H. De Figueiredo,Robust adaptive approximation of implicit curves,M,S
W.M. Lira,An OOP approach for mesh generation of multi-region models with NURBS,M,S
L.C.G. Coelho,An OOP approach for mesh generation of multi-region models with NURBS,M,S
L.F. Martha,An OOP approach for mesh generation of multi-region models with NURBS,M,S
M.G. Marquez,On reconstructing surfaces of arbitrary topology from a range image,M,S
R.M. Da Silva,On reconstructing surfaces of arbitrary topology from a range image,M,S
L.S. Oliveira,High-level verification of handwritten numeral strings,M,S
R. Sabourin,High-level verification of handwritten numeral strings,M,S
F. Bortolozzi,High-level verification of handwritten numeral strings,M,S
C.Y. Suen,High-level verification of handwritten numeral strings,M,S
J.S. Sanchez,Performance evaluation of prototype selection algorithms for nearest neighbor classification,M,S
R. Barandela,Performance evaluation of prototype selection algorithms for nearest neighbor classification,M,S
R. Alejo,Performance evaluation of prototype selection algorithms for nearest neighbor classification,M,S
A.I. Marques,Performance evaluation of prototype selection algorithms for nearest neighbor classification,F,S
R. Barandela,Ongoing learning for supervised pattern recognition,M,S
N.W. Trepode,Multi-resolution classification trees in OCR design,M,S
R. Terada,Multi-resolution classification trees in OCR design,M,S
R. Teixeira,Discrete scale spaces via heat equation,M,S
C.B.R. Ferreira,Automated mammogram classification using a multiresolution pattern recognition approach,F,S
D.L. Borges,Automated mammogram classification using a multiresolution pattern recognition approach,M,S
J.J.G. Leandro,Blood vessels segmentation in retina: preliminary assessment of the mathematical morphology and of the wavelet transform techniques,M,S
E.D.O. Nunes,Multi-bands image analysis using local fractal dimension,M,S
F.A. Zampirolli,Fast multidimensional parallel Euclidean distance transform based on mathematical morphology,M,S
R. Hirata,Hybrid human-machine non-linear filter design using envelopes,M,S
R. Hirata,Microarray gridding by mathematical morphology,M,S
D.O. Dantas,Microarray gridding by mathematical morphology,M,S
F.C. Flores,Connected filtering by graylevel classification through morphological histogram processing,M,S
R.D.A. Lotufo,Connected filtering by graylevel classification through morphological histogram processing,M,S
C.T. Pozzer,Procedural models on image synthesis for ocean animation,M,S
S.R.M. Pellegrino,Procedural models on image synthesis for ocean animation,M,S
E.W.G. Clua,A shading model for image-based object rendering,M,S
B. Feijo,A shading model for image-based object rendering,M,S
K. Perlin,Procedural shape synthesis on subdivision surfaces,M,S
H. Biermann,Procedural shape synthesis on subdivision surfaces,M,S
P. Pires,Dynamic algorithm binding for interactive walkthroughs,M,S
A.O. Zaid,Transform image coding with global thresholding: application to baseline JPEG,M,S
C. Olivier,Transform image coding with global thresholding: application to baseline JPEG,M,S
O. Alata,Transform image coding with global thresholding: application to baseline JPEG,M,S
F. Marmoiton,Transform image coding with global thresholding: application to baseline JPEG,M,S
C.R. Jung,Adaptive image denoising in scale-space using the wavelet transform,M,S
L.M.G. Goncalves,Programming behaviors with local perception and smart objects: an approach to solve autonomous agents tasks,M,S
R. Lemos,Realistic skeletal muscle deformation using finite element analysis,M,S
B. Wyvill,Realistic skeletal muscle deformation using finite element analysis,M,S
A.B. Raposo,Control of articulated figures animations using Petri Nets,M,S
L.P. Magalhaes,Control of articulated figures animations using Petri Nets,M,S
F.R. Miranda,ARENA and WOXBOT: first steps towards virtual world simulations,M,S
J.E. Kogler,ARENA and WOXBOT: first steps towards virtual world simulations,M,S
M.L. Netto,ARENA and WOXBOT: first steps towards virtual world simulations,M,S
I.D.O. Matias,Enhancing the volumetric approach to stereo matching,M,S
A.A.F. Oliveira,Enhancing the volumetric approach to stereo matching,M,S
L.M.G. Goncalves,Enhancing the volumetric approach to stereo matching,M,S
G.F. Silveira,A fast vision-based road following strategy applied to the control of aerial robots,M,S
J.R.H. Carvalho,A fast vision-based road following strategy applied to the control of aerial robots,M,S
M.K. Madrid,A fast vision-based road following strategy applied to the control of aerial robots,M,S
P. Rives,A fast vision-based road following strategy applied to the control of aerial robots,M,S
S.S. Bueno,A fast vision-based road following strategy applied to the control of aerial robots,M,S
C.H. Morimoto,Interactive digital mirror,M,S
P.H. Caramori,New agroclimatic digital images classification system and risk zone mapping,M,S
A.M. Marques Da Silva,On determining a signature for skeletal maturity,F,S
C.A. Dietrich,On determining a signature for skeletal maturity,M,S
C.A.A. Schmitz,On determining a signature for skeletal maturity,M,S
W.I. Meyering,Cardiac image sequence analysis using a spatiotemporal frequency approach,M,S
M.A. Gutierrez,Cardiac image sequence analysis using a spatiotemporal frequency approach,F,S
M.P.M.F. Prado,Analysis of medical image sequences by recursive polynomial registration,F,S
N.D.A. Mascarenhas,Analysis of medical image sequences by recursive polynomial registration,M,S
P.M.A. Marques,Analysis of medical image sequences by recursive polynomial registration,M,S
A.C. Patrocinio,Classifying clusters of microcalcification in digitized mammograms by artificial neural network,F,S
H. Schiabel,Classifying clusters of microcalcification in digitized mammograms by artificial neural network,M,S
M.C. De Andrade,An interactive algorithm for image denoising and segmentation,M,S
B.C. Vemuri,An interactive algorithm for image denoising and segmentation,M,S
M.B. Vieira,Segmentation into fuzzy regions using topographic distance,M,S
P.O.A. Navaux,Segmentation of TEM images using oscillatory neural networks,M,S
P.F.P. Fichtner,Segmentation of TEM images using oscillatory neural networks,M,S
S.J.F. Guimar,A method for cut detection based on visual rhythm,NULL,S
N.J. Leite,A method for cut detection based on visual rhythm,M,S
V. Marion-Poty,Wavelet compression of vector field visualizations,F,S
J.P. Pereria,Handling ambiguity and errors: visual languages for calligraphic interaction,M,S
M.J. Fonseca,Handling ambiguity and errors: visual languages for calligraphic interaction,F,S
J.A.P. Jorge,Handling ambiguity and errors: visual languages for calligraphic interaction,M,S
B. Caiado,NISVAS: three-dimensional interactive visualization in Java3D,M,S
J.B. Lopes,NISVAS: three-dimensional interactive visualization in Java3D,M,S
C.H.Q. Forster,An architecture based on constraints for augmented shared workspaces,M,S
C.L. Tozzi,An architecture based on constraints for augmented shared workspaces,M,S
H.M. Gomes,Learning and extracting primal-sketch features in a log-polar image representation,M,S
A.A.F. Oliveira,Improving the original Dual-T-Snakes model,M,S
A.G. Campos Bianchi,Inferring shape evolution,M,S
L.S. Oliveira,Feature subset selection using genetic algorithms for handwritten digit recognition,M,S
N. Benahmed,Feature subset selection using genetic algorithms for handwritten digit recognition,F,S
R. Sabourin,Feature subset selection using genetic algorithms for handwritten digit recognition,M,S
F. Bortolozzi,Feature subset selection using genetic algorithms for handwritten digit recognition,M,S
C.Y. Suen,Feature subset selection using genetic algorithms for handwritten digit recognition,M,S
C.M.N. Neto,HalfToner: a tool for comparing halftoning algorithms,M,S
J.C.D.S. Lins,HalfToner: a tool for comparing halftoning algorithms,M,S
P.R.C. Carvalho,HalfToner: a tool for comparing halftoning algorithms,M,S
A.C. Frery,HalfToner: a tool for comparing halftoning algorithms,M,S
R.A. Cava,Node-edge diagram layout for displaying hierarchies,M,S
C.M.D.S. Freitas,Node-edge diagram layout for displaying hierarchies,F,S
P.A. Bressan,Reducing latency to volume visualization on PC cluster,M,S
M.K. Zuffo,Reducing latency to volume visualization on PC cluster,M,S
C.A.P.D.S. Martins,A configurable and portable benchmark for 3D graphics,M,S
F. Policarpo,Real-time collision detection and response,M,S
L.H. de Figueiredo,Revisiting adaptively sampled distance fields,M,S
J.B. de Oliveira,Revisiting adaptively sampled distance fields,M,S
L.M.G. Goncalves,A simple adaptive scheme for terrain modeling based on average,M,S
F. Franco,A simple adaptive scheme for terrain modeling based on average,M,S
F.J. Heinen,GLFurry - an interactive 3D fur modeling system,M,S
T.F. Evers,A comparative study of algorithms for 3D morphing,M,S
C.G. Franco,Modeling the structure of feathers,M,S
H.C. da Gama,Digitization and reconstruction of archaeological artifacts,M,S
S.M. Malfatti,LOGO 3D - an extension three-dimensional of LOGO,F,S
D.J. Francisco,LOGO 3D - an extension three-dimensional of LOGO,M,S
M.A.S. Netto Nunes,LOGO 3D - an extension three-dimensional of LOGO,F,S
S.R. Do Santos,LOGO 3D - an extension three-dimensional of LOGO,M,S
M.F. Lima Pereira,Parallel DSP architecture for reconstruction of tomographic images using wavelets techniques,M,S
L.V. Koenigkan,Parallel DSP architecture for reconstruction of tomographic images using wavelets techniques,M,S
I.J. Sanches,Lossless image compression of computerized tomography projections,F,S
E.P. Ribeiro,Lossless image compression of computerized tomography projections,M,S
C.A.C. Caetano,Morphologic analysis of the endothelium corneal tissue using mathematical morphology,M,S
A.B.R. Filho,Morphologic analysis of the endothelium corneal tissue using mathematical morphology,M,S
S.J.F. Sousa,Morphologic analysis of the endothelium corneal tissue using mathematical morphology,F,S
R. De Alencar Lotufo,Morphologic analysis of the endothelium corneal tissue using mathematical morphology,M,S
A.V. Dias,Refinement of T-snakes using adaptive parameters,M,S
G.L. De Oliveria,Computer-aided diagnostic system for skeletal age assessment,M,S
G.P. Noal,Computer-aided diagnostic system for skeletal age assessment,M,S
A.M. Marques da Silva,Computer-aided diagnostic system for skeletal age assessment,F,S
C.A.A. Schmitz,Computer-aided diagnostic system for skeletal age assessment,M,S
M.A. Guitierrez,Incorporation of geometrical information to identify cardiac structures in MRI,F,S
P.P. De Magalhaes Oliveira,A system for event related fMRI post processing,M,S
P.R. Arantes,A system for event related fMRI post processing,M,S
R. De Deus Lopes,A system for event related fMRI post processing,M,S
S.M.F. Costa,New method to obtain the directional image for fingerprint classification,F,S
J.M.V. de Oliveira,New method to obtain the directional image for fingerprint classification,M,S
F.J.R. Fernandez,New method to obtain the directional image for fingerprint classification,M,S
T.P. Ribeiro,Algorithm for analyzing anatomical structure of wood from Brazilian forest species based on digital imaging processes techniques,M,S
M.T. Filho,Algorithm for analyzing anatomical structure of wood from Brazilian forest species based on digital imaging processes techniques,M,S
C.A. Rodrigues,Advanced image characterization in scanning probe microscopy,M,S
S.C.D. Pitto,Advanced image characterization in scanning probe microscopy,F,S
L.D.F. Costa,Advanced image characterization in scanning probe microscopy,M,S
R.M. Faria,Advanced image characterization in scanning probe microscopy,M,S
N.C. de Souza,Advanced image characterization in scanning probe microscopy,M,S
O.N. Oliveira,Advanced image characterization in scanning probe microscopy,M,S
I.H. Bechtold,Advanced image characterization in scanning probe microscopy,F,S
E.A. Oliveira,Advanced image characterization in scanning probe microscopy,M,S
J.J. Bonvent,Advanced image characterization in scanning probe microscopy,M,S
J.J. de Oliveira,Evaluation of holistic features for word recognition,M,S
J.M. de Carvalho,Evaluation of holistic features for word recognition,M,S
C.J.S. Oliveira,Proposal of a classifier of images collected in the World Wide Web,M,S
C.A. Severiano,Proposal of a classifier of images collected in the World Wide Web,M,S
D.R. Gomes,Proposal of a classifier of images collected in the World Wide Web,M,S
M.A.G. de Carvalho,Hierarchical regions matching in image sequences through association graph,F,S
R. de Alencar Lotufo,Hierarchical regions matching in image sequences through association graph,M,S
O. da Fonseca Martins Gomes,Pattern recognition in the characterization of the mesostructure of bamboo,M,S
G.L.A. Mota,Pattern recognition in the characterization of the mesostructure of bamboo,M,S
C. de Souza Rodrigues,Pattern recognition in the characterization of the mesostructure of bamboo,M,S
L.M.B. Claudino,Pollen grain information retrieval by neural representation,F,S
R. Augusto Rabelo Oliveira,Pollen grain information retrieval by neural representation,M,S
E.M. dos Santos,Appearance-based object recognition using support vector machines,M,S
H.M. Gomes,Appearance-based object recognition using support vector machines,M,S
M.T. Akyama,Recognition of character using morphological associative memory,M,S
F. Castor,JDIPF: Java digital image processing framework,M,S
A.C. Frery,JDIPF: Java digital image processing framework,M,S
R. De Alencar Lotufo,Toolbox of image processing for numerical Python,M,S
R. Campos Machado,Toolbox of image processing for numerical Python,M,S
C. Aranha,Reactive perception for autonomous task manipulation in robotic agents,M,S
R. De Alencar Lotufo,Prontovideo: an image sequence segmentation tool applied to video edition,M,S
R. Machado,Prontovideo: an image sequence segmentation tool applied to video edition,M,S
F.C. Flores,Prontovideo: an image sequence segmentation tool applied to video edition,M,S
R. Koo,Prontovideo: an image sequence segmentation tool applied to video edition,M,S
G. Santos Mazzela,Prontovideo: an image sequence segmentation tool applied to video edition,M,S
R. Machado Da Costa,Prontovideo: an image sequence segmentation tool applied to video edition,M,S
R. Marcos De Moraes,A low-cost solution for obtaining remote sensing images,M,S
R.M. Hadad,Using the Hough transform to detect circular forms in satellite imagery,M,S
P.P. Martins,Using the Hough transform to detect circular forms in satellite imagery,M,S
C.J.S. Oliveira,A digital image processing based methodology for the extraction of the quantitative parameters of a superficial drainage basin,M,S
B.S. Soares-Filho,DINAMICA - a landscape dynamics simulation software,M,S
G.C. Cerqueira,DINAMICA - a landscape dynamics simulation software,M,S
W.L. Araujo,DINAMICA - a landscape dynamics simulation software,M,S
P.C. Grazziotin,Integration of sunlight access control to a building potential simulator,M,S
C.M.D.S. Freitas,Integration of sunlight access control to a building potential simulator,F,S
B. Turkienicz,Integration of sunlight access control to a building potential simulator,M,S
L.A. Pereira Neves,Methodology of automatic extraction of table-form cells,M,S
R.S. Feris,Tracking facial features using Gabor wavelet networks,M,S
R.M. Cesar,Tracking facial features using Gabor wavelet networks,M,S
T.E. de Dampos,Improved face/spl times/non-face discrimination using Fourier descriptors through feature selection,M,S
R. Schimidt Feris,Improved face/spl times/non-face discrimination using Fourier descriptors through feature selection,M,S
R.M. Cesar,Improved face/spl times/non-face discrimination using Fourier descriptors through feature selection,M,S
L.L. Galdino,A visual attention model for tracking regions based on color correlograms,M,S
D.L. Borges,A visual attention model for tracking regions based on color correlograms,M,S
J.S. Tanaka,Curvature and orientation estimation by neuronal structures,M,S
E.T.M. Manoel,Curvature and orientation estimation by neuronal structures,M,S
J.D.S. da Silva,Multiple correspondences in stereo vision under a genetic algorithm approach,M,S
P.O. Simoni,Multiple correspondences in stereo vision under a genetic algorithm approach,M,S
K.K. Bharadwaj,Multiple correspondences in stereo vision under a genetic algorithm approach,M,S
E.M. de Almeida Neves,Target search by bottom-up and top-down fuzzy information,M,S
J.E. Borelli,Target search by bottom-up and top-down fuzzy information,M,S
L.E. Soares de Oliveira,Handwritten digits segmentation based on structural approach,M,S
F. Bortolozzi,Handwritten digits segmentation based on structural approach,M,S
R. Sabourin,Handwritten digits segmentation based on structural approach,M,S
A.M. Correa Machado,Probabilistic intensity mapping in MRI image registration,F,S
M.F. Montenegro CAmpos,Probabilistic intensity mapping in MRI image registration,M,S
A.A.F. Oliveira,A boundary extraction approach based on multi-resolution methods and the T-Snakes framework,M,S
C.H. Quartucci Forster,Towards 3D reconstruction of endoscope images using shape from shading,M,S
C.L. Tozzi,Towards 3D reconstruction of endoscope images using shape from shading,M,S
C.O. de Almendra Freitas,Brazilian bank check handwritten legal amount recognition,M,S
F. Bortolozzi,Brazilian bank check handwritten legal amount recognition,M,S
R. Sabourin,Brazilian bank check handwritten legal amount recognition,M,S
E.J.R. Justino,An off-line signature verification system using hidden Markov model and cross-validation,M,S
F. Bortolozzi,An off-line signature verification system using hidden Markov model and cross-validation,M,S
R. Sabourin,An off-line signature verification system using hidden Markov model and cross-validation,M,S
M.E. Morita,Recognition of handwritten dates on bank checks using an HMM approach,M,S
F. Bortolozzi,Recognition of handwritten dates on bank checks using an HMM approach,M,S
R. Sabourin,Recognition of handwritten dates on bank checks using an HMM approach,M,S
J.B.S. de Oliveira,Robust approximation of offsets and bisectors of plane curves,M,S
L.H. de Figueiredo,Robust approximation of offsets and bisectors of plane curves,M,S
C.G. Franco,Fast customization of geometric models,M,S
O. Alessio,On estimating local geometric properties of intersection curves,M,S
S.I.R. Costa,On estimating local geometric properties of intersection curves,F,S
N.D.A. Mascarenhas,An estimation theoretic approach to 3D image interpolation,M,S
I.A. Souza,An estimation theoretic approach to 3D image interpolation,M,S
C.I. Biscegli,An estimation theoretic approach to 3D image interpolation,M,S
R.R. Rosa,An estimation theoretic approach to 3D image interpolation,M,S
J.E.L. Desautels,Directional analysis of images with Gabor wavelets,M,S
A.F. Frere,Directional analysis of images with Gabor wavelets,F,S
C.R. Jung,Stochastic texture image retrieval and similarity matching,M,S
N.Y. Soma,Fractal color image compression,M,S
F.A. Balogun,Minitomography scanner for agriculture based on dual-energy Compton scattering,M,S
B. Feijo,A framework for networked reactive characters,M,S
F. Wagner da Silva,A control theory approach for real-time animation of artificial agents,M,S
L.M. Garcia,A control theory approach for real-time animation of artificial agents,M,S
R.C. Farias,A control theory approach for real-time animation of artificial agents,M,S
A.A.F. Oliveira,A control theory approach for real-time animation of artificial agents,M,S
H. Mayer,Image-based texture analysis for realistic image synthesis,M,S
A.E. Fabris,Parallelization of filling algorithms on distributed memory machines using the point containment paradigm,M,S
M.M.O. Assis,Parallelization of filling algorithms on distributed memory machines using the point containment paradigm,M,S
A.R. Forrest,Parallelization of filling algorithms on distributed memory machines using the point containment paradigm,M,S
R. Farias,Time-critical rendering of irregular grids,M,S
J.S.B. Mitchell,Time-critical rendering of irregular grids,M,S
C.T. Silva,Time-critical rendering of irregular grids,M,S
B. Wylie,Time-critical rendering of irregular grids,M,S
L.A.P. Lozada,Visualization of three-dimensional maps,M,S
C.X. de Mendonca,Visualization of three-dimensional maps,M,S
A.D. Alves,Interactive visualization over the WWW,M,S
M.C. Ferreira de Oliveira,Interactive visualization over the WWW,F,S
R. Minghim,Interactive visualization over the WWW,F,S
L.G. Nonato,Interactive visualization over the WWW,M,S
A.A. Falcao,Fast Euclidean distance transform using a graph-search algorithm,M,S
F.A. Zampirolli,Fast Euclidean distance transform using a graph-search algorithm,M,S
S.J.F. Guimaraes,Image decomposition in morphological residues: an approach for image filtering and segmentation,NULL,S
N.J. Leite,Image decomposition in morphological residues: an approach for image filtering and segmentation,M,S
R. Terada,Text segmentation by automatically designed morphological operators,M,S
F. De Assis Zampirolli,Classification of the distance transformation algorithms under the mathematical morphology approach,M,S
R. De Alencar Lotufo,Classification of the distance transformation algorithms under the mathematical morphology approach,M,S
F.C. Flores,Morphological operators for segmentation of color sequences,M,S
R. Hirata,Morphological operators for segmentation of color sequences,M,S
F. Meyer,Morphological operators for segmentation of color sequences,M,S
H.M.F. Madeira,Incremental evaluation of BDD-represented set operators,M,S
R. Hirata,Color Image Gradients For Morphological Segmentation,M,S
F.C. Flores,Color Image Gradients For Morphological Segmentation,M,S
F. Meyer,Color Image Gradients For Morphological Segmentation,M,S
G.J. Fernandez,Parallelization of ARTUR algorithm using PVM,M,S
P. Borensztein,Parallelization of ARTUR algorithm using PVM,M,S
B.M. De Faria,PhotoPixJ 2.0-a Java digital image processing environment,M,S
L.S. Neto,PhotoPixJ 2.0-a Java digital image processing environment,M,S
M.P. De Albuquerque,Recognition of characters in plates of private Brazilian vehicles using neural networks,M,S
L.P. Caloba,Recognition of characters in plates of private Brazilian vehicles using neural networks,M,S
S.J.F. Guimaraes,Old movie restoration using opening by surface,M,S
G. Cerqueira,Old movie restoration using opening by surface,M,S
A.D. Sappa,Towards real-time image segmentation using polynomial functions,M,S
L.M. Garcia,Towards real-time image segmentation using polynomial functions,M,S
J.R. Bittencourt,Adaptive filters for image processing based on artificial neural networks,M,S
F.S. Osorio,Adaptive filters for image processing based on artificial neural networks,M,S
L.R. Veloso,Morphological cursive word segmentation,M,S
R.P. Sousa,Morphological cursive word segmentation,M,S
J.M. De Carvalho,Morphological cursive word segmentation,M,S
S.E.N. Correia,Recognition of unconstrained handwritten numerals using biorthogonal spline wavelets,F,S
J.M. De Carvalho,Recognition of unconstrained handwritten numerals using biorthogonal spline wavelets,M,S
V.C. Da Silva,Image compression via tritree decomposition,M,S
J.M. De Carvalho,Image compression via tritree decomposition,M,S
A.D.A. Araujo,Pattern recognition and image description by suitable textural information,M,S
L.M.B. Claudino,Pattern recognition and image description by suitable textural information,F,S
R.A.R. Oliveira,Pattern recognition and image description by suitable textural information,M,S
J.G.F. Mexas,Reconstruction by using a wavelet representation of the algebraic Radon transform,M,S
C. Esperanca,Reconstruction by using a wavelet representation of the algebraic Radon transform,M,S
S.D.F. Fernandes,Parallelism and images: a parallelization experiment for image segmentation with an application for automatic classification of scenes obtained from orbital platforms,F,S
A.M.V. Monteiro,Parallelism and images: a parallelization experiment for image segmentation with an application for automatic classification of scenes obtained from orbital platforms,M,S
C.L. Mendes,Parallelism and images: a parallelization experiment for image segmentation with an application for automatic classification of scenes obtained from orbital platforms,M,S
S.M.F. Costa,Directional images applied to axonal arborization identification,F,S
N. Peixoto,Directional images applied to axonal arborization identification,M,S
J.M.V. De Oliveira,Directional images applied to axonal arborization identification,M,S
F.J.R. Fernandez,Directional images applied to axonal arborization identification,M,S
C.A.C. Caetano,Identification and segmentation of cells in images of donated corneas using mathematical morphology,M,S
S.J.F. Sousa,Identification and segmentation of cells in images of donated corneas using mathematical morphology,F,S
R.D.A. Lotufo,Identification and segmentation of cells in images of donated corneas using mathematical morphology,M,S
C.R.P. Dionisio,A project for hand gesture recognition,M,S
R.M. Cesar,A project for hand gesture recognition,M,S
C.B.F. Marques,Head motion tracking using facial image analysis applied to 3D-environment navigation,F,S
L.V. Souza,Head motion tracking using facial image analysis applied to 3D-environment navigation,M,S
L.C.G. Andrade,Head motion tracking using facial image analysis applied to 3D-environment navigation,M,S
M.F.M. Campos,Head motion tracking using facial image analysis applied to 3D-environment navigation,M,S
I.D.O. Matias,Enhancing the volumetric approach to stereo matching,M,S
A.A.F.D. Oliveira,Enhancing the volumetric approach to stereo matching,M,S
P.P.D.M. Oliveira,A virtual endoscopic system for non-invasive bronchoscopy,M,S
A.D.A. Araujo,Enhancing microscope biological images with DIP techniques,M,S
B.M. De Faria,Enhancing microscope biological images with DIP techniques,M,S
H.J. Rees,Enhancing microscope biological images with DIP techniques,M,S
M.A.R. Silva,Enhancing microscope biological images with DIP techniques,M,S
T.K. Mitre,An object-relational database containing multimedia data,F,S
A.B. Huguet,An object-relational database containing multimedia data,NULL,S
A.D.A. Araujo,An object-relational database containing multimedia data,M,S
N.S. Andrade,An object-relational database containing multimedia data,M,S
R. Pizzio,Computerized tomography image compression: FIC/spl times/WTC,M,S
P.R.G. Franco,Computerized tomography image compression: FIC/spl times/WTC,M,S
R.B. De Araujo,Construction of multiuser virtual environments for the virtual teaching of embryology,M,S
A.L. Battaiola,Construction of multiuser virtual environments for the virtual teaching of embryology,M,S
M.R.G. Marquez,On reconstructing surfaces with genus greater than zero from range images,M,S
A.P. Borges,A graphical interface to link virtual instruments through a Web browser,M,S
M.O.P. Lisboa,A graphical interface to link virtual instruments through a Web browser,M,S
F.J.R. Fernandez,A graphical interface to link virtual instruments through a Web browser,M,S
C.A.M. Dos Santos,Pythonissa: a visual language for weather forecast preparation,M,S
A.K. Kojima,Pythonissa: a visual language for weather forecast preparation,F,S
C.M.D.S. Freitas,Pythonissa: a visual language for weather forecast preparation,F,S
I.H. Manssour,A multimodal visualization framework for medical data,M,S
L.P. Nedel,A multimodal visualization framework for medical data,F,S
C.M.D.S. Freitas,A multimodal visualization framework for medical data,F,S
A.J.A.D. Cruz,Planning computer modeled animation: towards an animation machine,M,S
A.B. Raposo,Planning computer modeled animation: towards an animation machine,M,S
L.P. Magalhaes,Planning computer modeled animation: towards an animation machine,M,S
J.L. Encarnacao,Anno 2010-remembering our future. Challenges and frontiers of visualization for Human-Media Technology as the kernel for Human-Centered Computing,M,S
P.J. De Rezende,An optimal algorithm to construct all Voronoi diagrams for k nearest neighbor search in T/sup 2/,M,S
A.C. Miranda,An algorithm for two-dimensional mesh generation for arbitrary regions with cracks,M,S
L.F. Martha,An algorithm for two-dimensional mesh generation for arbitrary regions with cracks,M,S
K. Basso,Interpolation of scattered data: investigating alternatives for the modified Shepard method,F,S
P.R. De Avila Zingano,Interpolation of scattered data: investigating alternatives for the modified Shepard method,M,S
C.M. Dal Sasso Freitas,Interpolation of scattered data: investigating alternatives for the modified Shepard method,F,S
F.W. Da Silva,Motion cyclification by time/spl times/frequency warping,M,S
L.H. De Figueiredo,Interval methods for ray casting implicit surfaces with affine arithmetic,M,S
P. Frederick,Efficient visualization of graphical objects,M,S
M.R. Mediano,Efficient visualization of graphical objects,M,S
A.G. Ferreira,Multiple display viewing architecture for virtual environments over heterogeneous networks,M,S
I. Costa,Real-time shadow generation using BSP trees and stencil buffers,M,S
G.P. Carnielli,Fast digital perspective shell rendering,M,S
L.M.G. Fonseca,Control point assessment for image registration,F,S
C.S. Kenney,Control point assessment for image registration,M,S
M.F.M. Campos,A methodology for 3D registration of range images for object visualization,M,S
L.M.G. Goncalves,A framework for attention and object categorization using a stereo head robot,M,S
A.A.F. Oliveira,A framework for attention and object categorization using a stereo head robot,M,S
R.A. Grupen,A framework for attention and object categorization using a stereo head robot,M,S
R.A. De Freitas Mini,Visual tracking of objects using multiresolution,M,S
M.F.M. Campos,Visual tracking of objects using multiresolution,M,S
L.S. Coelho,Pose estimation of autonomous dirigibles using artificial landmarks,M,S
M.F.M. Campos,Pose estimation of autonomous dirigibles using artificial landmarks,M,S
C.H. Morimoto,Keeping an eye for HCI,M,S
P.S. De Souza Coelho,An image processing and belief network approach to face detection,M,S
C. Esperanca,An image processing and belief network approach to face detection,M,S
A.A.F. De Oliveira,An image processing and belief network approach to face detection,M,S
E.R. Hancock,A scale adaptive method for estimating the perspective pose of texture planes,M,S
D.M. Barbosa,Parallelizing MPEG video encoding using multiprocessors,M,S
J.P. Kitajima,Parallelizing MPEG video encoding using multiprocessors,M,S
C. Mota,Curvature operators in geometric image processing,F,S
F.R. Aquino,Using adaptive contraction for fractal image coding based on local fractal dimension,M,S
G.J.F. Banon,Characterization of linear and morphological operators,M,S
V. Maoio,Shape preservation in morphological filtering and segmentation,M,S
R. Hirata,Automatic design of morphological operators for motion segmentation,M,S
F.C. Flores,Automatic design of morphological operators for motion segmentation,M,S
H.M.F. Madeira,A new paradigm for the architecture of morphological machines: binary decision diagrams,M,S
R. Hirata,A new paradigm for the architecture of morphological machines: binary decision diagrams,M,S
R. Van Den Boomgaard,Developing morphological building blocks: from design to implementation,M,S
A.G. Flessia,Simulation of correlated intensity SAR images,M,S
A.C. Frery,Simulation of correlated intensity SAR images,M,S
A.C. Frery,The /spl Gscr//sup 0//sub A/ distribution as the true model for SAR images,M,S
A.G. Flesia,A Monte-Carlo study of classical spectral estimation of the backscatter in k-distributed images,M,S
A.C. Frery,A Monte-Carlo study of classical spectral estimation of the backscatter in k-distributed images,M,S
F.N.S. Medeiros,Speckle noise MAP filtering based on local adaptive neighborhood statistics,M,S
N.D.A. Mascarenhas,Speckle noise MAP filtering based on local adaptive neighborhood statistics,M,S
